Area,Age,Sex,Year at 30 June,Value,Flags
"Tasman Region","Total people, age","Total people, sex","2006",45800,
"Tasman Region","Total people, age","Total people, sex","2007",46200,
"Tasman Region","Total people, age","Total people, sex","2008",46500,
"Tasman Region","Total people, age","Total people, sex","2009",46900,
"Tasman Region","Total people, age","Total people, sex","2010",47400,
"Tasman Region","Total people, age","Total people, sex","2011",48200,
"Tasman Region","Total people, age","Total people, sex","2012",48600,
"Tasman Region","Total people, age","Total people, sex","2013",48800,
"Tasman Region","Total people, age","Total people, sex","2014",49700,
"Tasman Region","Total people, age","Total people, sex","2015",50700,
"Tasman Region","Total people, age","Total people, sex","2016",51900,
"Tasman Region","Total people, age","Total people, sex","2017",53000,
"Tasman Region","Total people, age","Total people, sex","2018",54000,
"Tasman Region","Total people, age","Total people, sex","2019",54900,
"Tasman Region","Total people, age","Total people, sex","2020",57000,
"Tasman Region","Total people, age","Total people, sex","2021",57900,
"Nelson Region","Total people, age","Total people, sex","2000",42600,
"Nelson Region","Total people, age","Total people, sex","2001",42900,
"Nelson Region","Total people, age","Total people, sex","2002",43100,
"Nelson Region","Total people, age","Total people, sex","2003",43600,
"Nelson Region","Total people, age","Total people, sex","2004",44000,
"Nelson Region","Total people, age","Total people, sex","2005",44100,
"Nelson Region","Total people, age","Total people, sex","2006",44300,
"Nelson Region","Total people, age","Total people, sex","2007",44700,
"Nelson Region","Total people, age","Total people, sex","2008",45200,
"Nelson Region","Total people, age","Total people, sex","2009",45800,
"Nelson Region","Total people, age","Total people, sex","2010",46500,
"Nelson Region","Total people, age","Total people, sex","2011",47500,
"Nelson Region","Total people, age","Total people, sex","2012",48200,
"Nelson Region","Total people, age","Total people, sex","2013",48700,
"Nelson Region","Total people, age","Total people, sex","2014",49600,
"Nelson Region","Total people, age","Total people, sex","2015",50500,
"Nelson Region","Total people, age","Total people, sex","2016",51400,
"Nelson Region","Total people, age","Total people, sex","2017",52000,
"Nelson Region","Total people, age","Total people, sex","2018",52700,
"Nelson Region","Total people, age","Total people, sex","2019",53400,
"Nelson Region","Total people, age","Total people, sex","2020",54700,
"Nelson Region","Total people, age","Total people, sex","2021",54700,
"Marlborough Region","Total people, age","Total people, sex","2000",40500,
"Marlborough Region","Total people, age","Total people, sex","2001",40700,
"Marlborough Region","Total people, age","Total people, sex","2002",41200,
"Marlborough Region","Total people, age","Total people, sex","2003",41800,
"Marlborough Region","Total people, age","Total people, sex","2004",42500,
"Marlborough Region","Total people, age","Total people, sex","2005",43000,
"Marlborough Region","Total people, age","Total people, sex","2006",43600,
"Marlborough Region","Total people, age","Total people, sex","2007",43800,
"Marlborough Region","Total people, age","Total people, sex","2008",44200,
"Marlborough Region","Total people, age","Total people, sex","2009",44400,
"Marlborough Region","Total people, age","Total people, sex","2010",44600,
"Marlborough Region","Total people, age","Total people, sex","2011",44700,
"Marlborough Region","Total people, age","Total people, sex","2012",44600,
"Marlborough Region","Total people, age","Total people, sex","2013",44700,
"Marlborough Region","Total people, age","Total people, sex","2014",45400,
"Marlborough Region","Total people, age","Total people, sex","2015",46200,
"Marlborough Region","Total people, age","Total people, sex","2016",47100,
"Marlborough Region","Total people, age","Total people, sex","2017",47900,
"Marlborough Region","Total people, age","Total people, sex","2018",48700,
"Marlborough Region","Total people, age","Total people, sex","2019",49300,
"Marlborough Region","Total people, age","Total people, sex","2020",51000,
"Marlborough Region","Total people, age","Total people, sex","2021",51500,
"West Coast Region","Total people, age","Total people, sex","2000",31400,
"West Coast Region","Total people, age","Total people, sex","2001",31100,
"West Coast Region","Total people, age","Total people, sex","2002",31100,
"West Coast Region","Total people, age","Total people, sex","2003",31400,
"West Coast Region","Total people, age","Total people, sex","2004",31500,
"West Coast Region","Total people, age","Total people, sex","2005",31800,
